,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,16,1,34.5,0,0,7.8292,2
1,3,32,0,47.0,1,0,7.0,0
2,2,25,1,62.0,0,0,9.6875,2
3,3,16,1,27.0,0,0,8.6625,0
4,3,44,0,22.0,1,1,12.2875,0
5,3,26,1,14.0,0,0,9.225,0
6,3,20,0,30.0,0,0,7.6292,2
7,2,28,1,26.0,1,1,29.0,0
8,3,41,0,18.0,0,0,7.2292,1
9,3,23,1,21.0,2,0,24.15,0
10,3,16,1,30.0,0,0,7.8958,0
11,1,26,1,46.0,0,0,26.0,0
12,1,45,0,23.0,1,0,82.2667,0
13,2,20,1,63.0,1,0,26.0,0
14,1,55,0,47.0,1,0,61.175,0
15,2,45,0,24.0,1,0,27.7208,1
16,2,17,1,35.0,0,0,12.35,2
17,3,17,1,21.0,0,0,7.225,1
18,3,28,0,27.0,1,0,7.925,0
19,3,37,0,45.0,0,0,7.225,1
20,1,22,1,55.0,1,0,59.4,1
21,3,25,1,9.0,0,1,3.1708,0
22,1,36,0,30.0,0,0,31.6833,0
23,1,31,1,21.0,0,1,61.3792,1
24,1,47,0,48.0,1,3,262.375,1
25,3,23,1,50.0,1,0,14.5,0
26,1,28,0,22.0,0,1,61.9792,1
27,3,17,1,22.5,0,0,7.225,1
28,1,23,1,41.0,0,0,30.5,0
29,3,17,1,30.0,2,0,21.6792,1
30,2,28,1,50.0,1,0,26.0,0
31,2,29,1,24.0,2,0,31.5,0
32,3,40,0,33.0,1,2,20.575,0
33,3,49,0,30.0,1,2,23.45,0
34,1,24,1,30.0,1,0,57.75,1
35,3,48,1,18.5,0,0,7.2292,1
36,3,19,0,30.0,0,0,8.05,0
37,3,18,0,21.0,0,0,8.6625,0
38,3,15,1,25.0,0,0,9.5,0
39,3,13,1,30.0,0,0,56.4958,0
40,3,16,1,39.0,0,1,13.4167,1
41,1,27,1,30.0,0,0,26.55,0
42,3,21,1,41.0,0,0,7.85,0
43,2,37,0,30.0,0,0,13.0,0
44,1,48,0,45.0,1,0,52.5542,0
45,3,31,1,25.0,0,0,7.925,0
46,1,24,1,45.0,0,0,29.7,1
47,3,24,1,30.0,0,0,7.75,2
48,1,47,0,60.0,0,0,76.2917,1
49,3,46,0,36.0,0,2,15.9,0
50,1,24,1,24.0,1,0,60.0,0
51,2,18,1,27.0,0,0,15.0333,1
52,2,29,0,20.0,2,1,23.0,0
53,1,26,0,28.0,3,2,263.0,0
54,2,33,1,30.0,0,0,15.5792,1
55,3,20,1,10.0,4,1,29.125,2
56,3,15,1,35.0,0,0,7.8958,0
57,3,29,1,25.0,0,0,7.65,0
58,3,25,1,30.0,1,0,16.1,0
59,1,27,0,36.0,0,0,262.375,1
60,3,15,1,17.0,0,0,7.8958,0
61,2,25,1,32.0,0,0,13.5,0
62,3,28,1,18.0,0,0,7.75,0
63,3,28,0,22.0,0,0,7.725,2
64,1,27,1,13.0,2,2,262.375,1
65,2,51,0,30.0,0,0,21.0,0
66,3,23,0,18.0,0,0,7.8792,2
67,1,30,1,47.0,0,0,42.4,0
68,1,31,1,31.0,0,0,28.5375,1
69,1,35,0,60.0,1,4,263.0,0
70,3,25,0,24.0,0,0,7.75,2
71,3,18,1,21.0,0,0,7.8958,0
72,3,30,0,29.0,0,0,7.925,0
73,1,31,1,28.5,0,0,27.7208,1
74,1,20,0,35.0,0,0,211.5,1
75,1,18,1,32.5,0,0,211.5,1
76,3,16,1,30.0,0,0,8.05,0
77,1,52,0,55.0,2,0,25.7,0
78,2,30,1,30.0,0,0,13.0,0
79,3,22,0,24.0,0,0,7.75,2
80,3,20,1,6.0,1,1,15.2458,1
81,1,18,1,67.0,1,0,221.7792,0
82,1,22,1,49.0,0,0,26.0,0
83,3,20,1,30.0,0,0,7.8958,0
84,2,21,1,30.0,0,0,10.7083,2
85,3,18,1,30.0,1,0,14.4542,1
86,3,18,0,27.0,0,0,7.8792,2
87,3,26,0,18.0,0,0,8.05,0
88,3,23,0,30.0,0,0,7.75,2
89,2,27,1,2.0,1,1,23.0,0
90,3,59,0,22.0,1,0,13.9,0
91,3,18,1,30.0,0,0,7.775,0
92,1,36,0,27.0,1,2,52.0,0
93,3,17,1,30.0,0,0,8.05,0
94,1,19,1,25.0,0,0,26.0,1
